##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Nt1_S1_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	55252796
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.65188369833809	32.0	32.0	32.0	32.0	32.0
2	30.319567592561288	32.0	32.0	32.0	27.0	32.0
3	30.37294326245499	32.0	32.0	32.0	27.0	32.0
4	30.46632139665837	32.0	32.0	32.0	32.0	32.0
5	30.389287195529434	32.0	32.0	32.0	21.0	32.0
6	33.726415817943405	36.0	36.0	36.0	21.0	36.0
7	33.74439374977513	36.0	36.0	36.0	27.0	36.0
8	33.56243066866698	36.0	36.0	36.0	21.0	36.0
9	33.85271072978823	36.0	36.0	36.0	32.0	36.0
10-11	33.73042611273464	36.0	36.0	36.0	26.5	36.0
12-13	33.687674547727866	36.0	36.0	36.0	26.5	36.0
14-15	33.630249915316504	36.0	36.0	36.0	21.0	36.0
16-17	33.56690636976995	36.0	36.0	36.0	21.0	36.0
18-19	33.53910312520655	36.0	36.0	36.0	21.0	36.0
20-21	33.50709974025568	36.0	36.0	36.0	21.0	36.0
22-23	33.47743540435492	36.0	36.0	36.0	21.0	36.0
24-25	33.44423357326569	36.0	36.0	36.0	21.0	36.0
26-27	33.411520459525704	36.0	36.0	36.0	21.0	36.0
28-29	33.383867786527944	36.0	36.0	36.0	21.0	36.0
30-31	33.33299862327329	36.0	36.0	36.0	21.0	36.0
32-33	33.28633388073248	36.0	36.0	36.0	21.0	36.0
34-35	33.27857685247277	36.0	36.0	36.0	21.0	36.0
36-37	33.242565976673106	36.0	36.0	36.0	21.0	36.0
38-39	33.20562561315913	36.0	36.0	36.0	21.0	36.0
40-41	33.13807677498832	36.0	36.0	36.0	14.0	36.0
42-43	33.090870395205044	36.0	36.0	36.0	14.0	36.0
44-45	33.010172735905115	36.0	36.0	36.0	14.0	36.0
46-47	32.96347721723933	36.0	36.0	36.0	14.0	36.0
48-49	32.89352989367812	36.0	36.0	36.0	14.0	36.0
50-51	32.80599880520052	36.0	36.0	36.0	14.0	36.0
52-53	32.73401753639703	36.0	32.0	36.0	14.0	36.0
54-55	32.6729148610774	36.0	32.0	36.0	14.0	36.0
56-57	32.59619730235565	36.0	32.0	36.0	14.0	36.0
58-59	32.53534914442314	36.0	32.0	36.0	14.0	36.0
60-61	32.4996505694773	36.0	32.0	36.0	14.0	36.0
62-63	32.475943242181195	36.0	32.0	36.0	14.0	36.0
64-65	32.42674537767975	36.0	32.0	36.0	14.0	36.0
66-67	32.38444533883684	36.0	32.0	36.0	14.0	36.0
68-69	32.341453344728784	36.0	32.0	36.0	14.0	36.0
70-71	32.31048406082948	36.0	32.0	36.0	14.0	36.0
72-73	32.28054805882321	36.0	32.0	36.0	14.0	36.0
74-75	32.200602152355934	36.0	32.0	36.0	14.0	36.0
76	30.714755275362265	36.0	27.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.021226875922774724
11101	2	-0.01438178466496609
11101	3	0.0962206843088893
11101	4	0.12302598765984385
11101	5	-0.11156086860445313
11101	6	0.069261032546315
11101	7	-4.785276950016737E-4
11101	8	-0.006307991977948291
11101	9	0.04561658606210983
11101	10-11	0.0576235469706603
11101	12-13	0.03126270435124212
11101	14-15	0.03469550042213854
11101	16-17	0.1260566955370237
11101	18-19	0.016373406373702437
11101	20-21	0.14591750294147943
11101	22-23	0.1340768954297502
11101	24-25	0.048091858947337585
11101	26-27	0.15488697834267384
11101	28-29	0.09546836216959065
11101	30-31	0.14411002689826802
11101	32-33	0.15408127208047517
11101	34-35	0.11837325111513053
11101	36-37	0.11371514758030798
11101	38-39	0.20120765095585114
11101	40-41	0.047275298797842424
11101	42-43	0.12141331208054851
11101	44-45	0.18774877597481776
11101	46-47	0.19470239809403722
11101	48-49	0.1237394374634988
11101	50-51	0.2051160949470372
11101	52-53	0.2829654765404541
11101	54-55	0.17114042679472163
11101	56-57	0.3744830512442334
11101	58-59	0.34673471851898086
11101	60-61	0.2675151277874832
11101	62-63	0.2920757176156812
11101	64-65	0.2554351482491697
11101	66-67	0.24470526441857032
11101	68-69	0.2190554333053356
11101	70-71	0.14592159374032576
11101	72-73	0.19083915496756987
11101	74-75	0.25430038506133457
11101	76	0.4751079895324821
11102	1	-0.01487867308206603
11102	2	0.08691606654124229
11102	3	0.03157277240890721
11102	4	0.13615738005132982
11102	5	0.15972978092846546
11102	6	0.2084077241501774
11102	7	0.17059976991826176
11102	8	0.10916544741401424
11102	9	0.14552235548317327
11102	10-11	0.14120234199339876
11102	12-13	0.056364459145370915
11102	14-15	0.09891518847049241
11102	16-17	0.0814511597511185
11102	18-19	0.18431918005504144
11102	20-21	0.11540237708593537
11102	22-23	0.17982633853509356
11102	24-25	0.20360189438162735
11102	26-27	0.11131274573934746
11102	28-29	0.2593463250040031
11102	30-31	0.1394121791667544
11102	32-33	0.13592423269788156
11102	34-35	0.1966042651430584
11102	36-37	0.20513944578729593
11102	38-39	0.23274130521963343
11102	40-41	0.11355265612969845
11102	42-43	0.25925725165417646
11102	44-45	0.09028129341059099
11102	46-47	0.18713168248157785
11102	48-49	0.1567183030375503
11102	50-51	0.21056895661886443
11102	52-53	0.358545752083387
11102	54-55	0.3095086548310917
11102	56-57	0.25748303236004944
11102	58-59	0.32347789131910787
11102	60-61	0.36221220353346695
11102	62-63	0.17347728077308489
11102	64-65	0.36194942293128207
11102	66-67	0.24310656081455306
11102	68-69	0.26495960270968766
11102	70-71	0.2150994967208888
11102	72-73	0.18922605174212492
11102	74-75	0.21819374323834495
11102	76	0.6321787454072236
11103	1	0.0627303890163553
11103	2	0.028834893626928704
11103	3	0.004531231693640336
11103	4	0.03789535540830258
11103	5	0.09569759224755003
11103	6	0.1640487462734157
11103	7	-0.012760334470868884
11103	8	0.09450753065397777
11103	9	-0.005565203033732757
11103	10-11	0.1229850516291151
11103	12-13	0.1290935123414485
11103	14-15	0.017400165002754875
11103	16-17	0.13390390796873675
11103	18-19	0.1736008462567682
11103	20-21	0.09498171389179078
11103	22-23	0.09540852592029125
11103	24-25	0.11018935457641277
11103	26-27	0.130466840131632
11103	28-29	0.14993206875369225
11103	30-31	0.20497569297072005
11103	32-33	0.09093009391582285
11103	34-35	0.16483839069354644
11103	36-37	0.089445954711735
11103	38-39	0.15874159789943576
11103	40-41	0.22036722060843061
