##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Nt2_S2_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	115704518
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.88608173450928	32.0	32.0	32.0	32.0	32.0
2	31.01504111533484	32.0	32.0	32.0	32.0	32.0
3	31.060010828617774	32.0	32.0	32.0	32.0	32.0
4	31.17897518919702	32.0	32.0	32.0	32.0	32.0
5	31.053425787573826	32.0	32.0	32.0	32.0	32.0
6	34.28826256378338	36.0	36.0	36.0	32.0	36.0
7	34.3600145760946	36.0	36.0	36.0	32.0	36.0
8	34.19565351804153	36.0	36.0	36.0	32.0	36.0
9	34.46284589336434	36.0	36.0	36.0	32.0	36.0
10-11	34.366662281070134	36.0	36.0	36.0	32.0	36.0
12-13	34.38019615621232	36.0	36.0	36.0	32.0	36.0
14-15	34.378488496015336	36.0	36.0	36.0	32.0	36.0
16-17	34.340999795703745	36.0	36.0	36.0	32.0	36.0
18-19	34.3397353204479	36.0	36.0	36.0	32.0	36.0
20-21	34.30013134405002	36.0	36.0	36.0	32.0	36.0
22-23	34.2579669274453	36.0	36.0	36.0	32.0	36.0
24-25	34.21100461262887	36.0	36.0	36.0	32.0	36.0
26-27	34.08674911899291	36.0	36.0	36.0	32.0	36.0
28-29	34.03614749512201	36.0	36.0	36.0	32.0	36.0
30-31	33.97739812977744	36.0	36.0	36.0	32.0	36.0
32-33	33.92233747518831	36.0	36.0	36.0	32.0	36.0
34-35	33.92189055227731	36.0	36.0	36.0	32.0	36.0
36-37	33.898280508176924	36.0	36.0	36.0	32.0	36.0
38-39	33.85637101657461	36.0	36.0	36.0	32.0	36.0
40-41	33.80922042109155	36.0	36.0	36.0	32.0	36.0
42-43	33.77552607117917	36.0	36.0	36.0	32.0	36.0
44-45	33.72588324739327	36.0	36.0	36.0	32.0	36.0
46-47	33.69981181225994	36.0	36.0	36.0	27.0	36.0
48-49	33.63665610233696	36.0	36.0	36.0	27.0	36.0
50-51	33.56980593872292	36.0	36.0	36.0	27.0	36.0
52-53	33.500753254968544	36.0	36.0	36.0	27.0	36.0
54-55	33.43368897433113	36.0	36.0	36.0	27.0	36.0
56-57	33.33337396053561	36.0	36.0	36.0	21.0	36.0
58-59	33.2498996268896	36.0	36.0	36.0	21.0	36.0
60-61	33.17542721972771	36.0	36.0	36.0	21.0	36.0
62-63	33.07765317854144	36.0	36.0	36.0	21.0	36.0
64-65	32.998244266132204	36.0	32.0	36.0	21.0	36.0
66-67	32.91484914384864	36.0	32.0	36.0	21.0	36.0
68-69	32.87110632836179	36.0	32.0	36.0	21.0	36.0
70-71	32.82079800150726	36.0	32.0	36.0	21.0	36.0
72-73	32.75732796246432	36.0	32.0	36.0	17.5	36.0
74-75	32.68940616051168	36.0	32.0	36.0	14.0	36.0
76	31.18390638886358	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.04061965119648647
11101	2	-0.0054897671775577805
11101	3	0.04887605980533749
11101	4	0.016245300383467054
11101	5	0.003780436565623546
11101	6	-0.003059342460907999
11101	7	0.02314202059604753
11101	8	0.0733393090829253
11101	9	0.013847054255052171
11101	10-11	-0.022916598586505188
11101	12-13	0.02220010191570765
11101	14-15	0.05346130296649676
11101	16-17	0.05694783385239788
11101	18-19	0.07666360587639787
11101	20-21	0.08564361927510333
11101	22-23	0.024644411900062835
11101	24-25	0.03965549299372384
11101	26-27	-0.006562470363590478
11101	28-29	0.0626664067126157
11101	30-31	0.06851199269497954
11101	32-33	0.14945238030929175
11101	34-35	0.12219011918286782
11101	36-37	0.07284537285271142
11101	38-39	0.11500670141686697
11101	40-41	0.11738848596001361
11101	42-43	0.18179194044888192
11101	44-45	0.17977804350688587
11101	46-47	0.1601441177718712
11101	48-49	0.1322440005145964
11101	50-51	0.21970039415484877
11101	52-53	0.17229707329196486
11101	54-55	0.1675371905063585
11101	56-57	0.23726200978423861
11101	58-59	0.23135990347577007
11101	60-61	0.19333475527034238
11101	62-63	0.32133223504867914
11101	64-65	0.2296197843515273
11101	66-67	0.18479777275844356
11101	68-69	0.19149033298188556
11101	70-71	0.22440902920709505
11101	72-73	0.17311335576063414
11101	74-75	0.15219931926927188
11101	76	0.46403120342444737
11102	1	0.05051438693739385
11102	2	0.022564919644583625
11102	3	0.03715388326795477
11102	4	0.02121266127587873
11102	5	0.04769243061118544
11102	6	0.05147494780274542
11102	7	0.057565383535795434
11102	8	0.062458948064985975
11102	9	0.006332164510453708
11102	10-11	0.03413980141280604
11102	12-13	0.07420686923262565
11102	14-15	0.050542145685923856
11102	16-17	0.04836720717184306
11102	18-19	0.03334172699218385
11102	20-21	0.05989312447626105
11102	22-23	0.10684228072765478
11102	24-25	0.07920117294551687
11102	26-27	0.06579412918716088
11102	28-29	0.03703319242783465
11102	30-31	0.06670673296572716
11102	32-33	0.09903511728756342
11102	34-35	0.06906275490226932
11102	36-37	0.07837165369404175
11102	38-39	0.0065186915355397446
11102	40-41	0.053891502817059234
11102	42-43	0.08658018181551341
11102	44-45	0.10419610635256049
11102	46-47	0.11498430234515666
11102	48-49	0.1641681347886177
11102	50-51	0.21293166649298456
11102	52-53	0.1829510650311832
11102	54-55	0.2530048449618718
11102	56-57	0.25036153611689116
11102	58-59	0.3179970563107162
11102	60-61	0.2789344869228003
11102	62-63	0.1420268714355828
11102	64-65	0.10418532316525386
11102	66-67	0.27991566661229683
11102	68-69	0.17590974514713764
11102	70-71	0.286098072294962
11102	72-73	0.24108085882203767
11102	74-75	0.1418653829381853
11102	76	0.4260910266381259
11103	1	0.058308475198270315
11103	2	-0.01853184711581335
11103	3	0.05269111878041599
11103	4	-0.013566952326151238
11103	5	0.018178650950115838
11103	6	0.021114515243837673
11103	7	0.06812494206301523
11103	8	-0.012679879677399697
11103	9	0.0021345064459907803
11103	10-11	-0.009147749183838982
11103	12-13	-0.025009366531364208
11103	14-15	0.022437043885233265
11103	16-17	0.010408247630280698
11103	18-19	-0.051325266165783034
11103	20-21	0.008084108973370974
