##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Nt3_S3_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	78425828
Sequences flagged as poor quality	0
Sequence length	20-76
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.989416101542467	32.0	32.0	32.0	32.0	32.0
2	31.056476560247475	32.0	32.0	32.0	32.0	32.0
3	31.112649916810568	32.0	32.0	32.0	32.0	32.0
4	31.217819287798914	32.0	32.0	32.0	32.0	32.0
5	31.24851523403744	32.0	32.0	32.0	32.0	32.0
6	34.360644047009615	36.0	36.0	36.0	32.0	36.0
7	34.43392533898399	36.0	36.0	36.0	32.0	36.0
8	34.29274499977227	36.0	36.0	36.0	32.0	36.0
9	34.53885378169039	36.0	36.0	36.0	32.0	36.0
10-11	34.46143832233432	36.0	36.0	36.0	32.0	36.0
12-13	34.48390779501875	36.0	36.0	36.0	32.0	36.0
14-15	34.47588756091935	36.0	36.0	36.0	32.0	36.0
16-17	34.43342660022665	36.0	36.0	36.0	32.0	36.0
18-19	34.43831647528158	36.0	36.0	36.0	32.0	36.0
20-21	34.40508792517804	36.0	36.0	36.0	32.0	36.0
22-23	34.37044480886726	36.0	36.0	36.0	32.0	36.0
24-25	34.33284813992127	36.0	36.0	36.0	32.0	36.0
26-27	34.24321645907678	36.0	36.0	36.0	32.0	36.0
28-29	34.20679381323326	36.0	36.0	36.0	32.0	36.0
30-31	34.16528083188191	36.0	36.0	36.0	32.0	36.0
32-33	34.12155613750981	36.0	36.0	36.0	32.0	36.0
34-35	34.13496836668391	36.0	36.0	36.0	32.0	36.0
36-37	34.124218365063534	36.0	36.0	36.0	32.0	36.0
38-39	34.09248143219779	36.0	36.0	36.0	32.0	36.0
40-41	34.0605241390456	36.0	36.0	36.0	32.0	36.0
42-43	34.04349723510076	36.0	36.0	36.0	32.0	36.0
44-45	34.0061619369319	36.0	36.0	36.0	32.0	36.0
46-47	33.99495351571031	36.0	36.0	36.0	32.0	36.0
48-49	33.9400548250295	36.0	36.0	36.0	32.0	36.0
50-51	33.889226978920206	36.0	36.0	36.0	32.0	36.0
52-53	33.83744147823856	36.0	36.0	36.0	32.0	36.0
54-55	33.78037584100143	36.0	36.0	36.0	32.0	36.0
56-57	33.69340528852921	36.0	36.0	36.0	29.5	36.0
58-59	33.62324741343019	36.0	36.0	36.0	27.0	36.0
60-61	33.56131617874621	36.0	36.0	36.0	27.0	36.0
62-63	33.47995322969286	36.0	36.0	36.0	27.0	36.0
64-65	33.423600033937355	36.0	36.0	36.0	27.0	36.0
66-67	33.36846124790351	36.0	36.0	36.0	27.0	36.0
68-69	33.33463462447931	36.0	36.0	36.0	27.0	36.0
70-71	33.30875921677486	36.0	36.0	36.0	27.0	36.0
72-73	33.312886676638115	36.0	32.0	36.0	27.0	36.0
74-75	33.74233447850082	36.0	36.0	36.0	29.5	36.0
76	34.525133516966335	36.0	32.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-5.738266000996362E-4
11101	2	0.08271202422819712
11101	3	0.11077275293121858
11101	4	0.07543723939608071
11101	5	0.04065728001641489
11101	6	0.11319233783757454
11101	7	0.08386748710337599
11101	8	0.09813566280909924
11101	9	0.04987720843725185
11101	10-11	0.09246823210842336
11101	12-13	0.11125075604734747
11101	14-15	0.10596609727809181
11101	16-17	0.04734296244770775
11101	18-19	0.0911405710080615
11101	20-21	0.1531155188217852
11101	22-23	0.0856841388130718
11101	24-25	0.1268171142011738
11101	26-27	0.039948032244573994
11101	28-29	0.11728220408799928
11101	30-31	0.1462063043582944
11101	32-33	0.2017619261945427
11101	34-35	0.13350797483467858
11101	36-37	0.06524296591786083
11101	38-39	0.12617022657432386
11101	40-41	0.1267054993003356
11101	42-43	0.20101679620936608
11101	44-45	0.2610249209434983
11101	46-47	0.24633620591411898
11101	48-49	0.23148255471387102
11101	50-51	0.2217517380407088
11101	52-53	0.21037746485209396
11101	54-55	0.28176532218682127
11101	56-57	0.2932525818355387
11101	58-59	0.2796398075200557
11101	60-61	0.2745362668936906
11101	62-63	0.3822439977434442
11101	64-65	0.21548186939591574
11101	66-67	0.22663237667386227
11101	68-69	0.1914475031562901
11101	70-71	0.32823471423292716
11101	72-73	0.2113914707949931
11101	74-75	0.12945596588507868
11101	76	0.12334660566637012
11102	1	0.0022408200385797272
11102	2	-0.006244952141429394
11102	3	0.04472573484084208
11102	4	0.02004618247535106
11102	5	0.047129529248074675
11102	6	0.11602050995310975
11102	7	0.07153264851864805
11102	8	0.05119050187483509
11102	9	0.025766571100930946
11102	10-11	0.032042905230092344
11102	12-13	0.0573912173488722
11102	14-15	0.03229026722257089
11102	16-17	0.051287899331235565
11102	18-19	0.056299280901079385
11102	20-21	0.024887040075526556
11102	22-23	0.09996758365830516
11102	24-25	0.09884552590067841
11102	26-27	0.11540854247543564
11102	28-29	0.06662578006816489
11102	30-31	0.050447202767507804
11102	32-33	0.025577995477924276
11102	34-35	0.05252059639210671
11102	36-37	0.0368086994468797
11102	38-39	0.04808232146474012
11102	40-41	0.06286827992666844
11102	42-43	0.028381231022571285
11102	44-45	0.1068618410753146
11102	46-47	0.0860258237629381
11102	48-49	0.12701670316928215
11102	50-51	0.20177055944542133
11102	52-53	0.07832766299878102
11102	54-55	0.19726765744805874
11102	56-57	0.25312908088418595
11102	58-59	0.30488447553018716
11102	60-61	0.24864104257194697
11102	62-63	0.07245884290129823
11102	64-65	0.168688469708826
11102	66-67	0.2566842445217077
11102	68-69	0.16579639717948425
11102	70-71	0.24281450653624148
11102	72-73	0.2224326143027895
11102	74-75	0.02189331843886322
11102	76	0.05524045186773918
11103	1	0.0029390981973911323
11103	2	0.0026732797706650047
11103	3	0.03142069681995352
11103	4	0.05072054859879316
11103	5	0.007425196256470201
11103	6	-0.00672004028287887
11103	7	0.05938502381860644
11103	8	0.060374456291569345
11103	9	0.017346469821511334
11103	10-11	-0.016974614729740267
11103	12-13	-0.007733956108829432
11103	14-15	0.015366745338148746
11103	16-17	0.054697012962591884
11103	18-19	0.01154783001295101
11103	20-21	0.04124207407161151
11103	22-23	-0.03021051294386723
