##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Nt3_S3_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	102375948
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.86167346650602	32.0	32.0	32.0	32.0	32.0
2	30.94920626278352	32.0	32.0	32.0	32.0	32.0
3	30.993957760469286	32.0	32.0	32.0	32.0	32.0
4	31.118141001243767	32.0	32.0	32.0	32.0	32.0
5	31.00043605945412	32.0	32.0	32.0	32.0	32.0
6	34.19369060201523	36.0	36.0	36.0	32.0	36.0
7	34.26337969539486	36.0	36.0	36.0	32.0	36.0
8	34.09993968505181	36.0	36.0	36.0	32.0	36.0
9	34.36578908163077	36.0	36.0	36.0	32.0	36.0
10-11	34.2679776210717	36.0	36.0	36.0	32.0	36.0
12-13	34.28516097355211	36.0	36.0	36.0	32.0	36.0
14-15	34.28017966681002	36.0	36.0	36.0	32.0	36.0
16-17	34.243096342316655	36.0	36.0	36.0	32.0	36.0
18-19	34.24550751901218	36.0	36.0	36.0	32.0	36.0
20-21	34.205467992345234	36.0	36.0	36.0	32.0	36.0
22-23	34.16005464975035	36.0	36.0	36.0	32.0	36.0
24-25	34.11651418358539	36.0	36.0	36.0	32.0	36.0
26-27	33.984187189162824	36.0	36.0	36.0	32.0	36.0
28-29	33.93306455145109	36.0	36.0	36.0	32.0	36.0
30-31	33.87458451178396	36.0	36.0	36.0	32.0	36.0
32-33	33.81479277730351	36.0	36.0	36.0	32.0	36.0
34-35	33.81679365254816	36.0	36.0	36.0	32.0	36.0
36-37	33.792723408459054	36.0	36.0	36.0	32.0	36.0
38-39	33.75139394325848	36.0	36.0	36.0	32.0	36.0
40-41	33.70425317177388	36.0	36.0	36.0	32.0	36.0
42-43	33.67123627431482	36.0	36.0	36.0	27.0	36.0
44-45	33.6205300915306	36.0	36.0	36.0	27.0	36.0
46-47	33.59515803481483	36.0	36.0	36.0	27.0	36.0
48-49	33.527424775782585	36.0	36.0	36.0	27.0	36.0
50-51	33.46081119194879	36.0	36.0	36.0	24.0	36.0
52-53	33.390633073399194	36.0	36.0	36.0	21.0	36.0
54-55	33.32490442934436	36.0	36.0	36.0	21.0	36.0
56-57	33.219981317098245	36.0	36.0	36.0	21.0	36.0
58-59	33.133958524079304	36.0	36.0	36.0	21.0	36.0
60-61	33.05820199459235	36.0	36.0	36.0	21.0	36.0
62-63	32.953707443308396	36.0	32.0	36.0	21.0	36.0
64-65	32.87285135798824	36.0	32.0	36.0	21.0	36.0
66-67	32.78291157363458	36.0	32.0	36.0	14.0	36.0
68-69	32.724782678677514	36.0	32.0	36.0	14.0	36.0
70-71	32.660693089460345	36.0	32.0	36.0	14.0	36.0
72-73	32.57936193050185	36.0	32.0	36.0	14.0	36.0
74-75	32.51877308252968	36.0	32.0	36.0	14.0	36.0
76	31.055562480635142	36.0	32.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	0.04170050627115529
11101	2	0.03743813230866522
11101	3	0.0748438478122857
11101	4	0.07130975644506421
11101	5	0.010672292482674095
11101	6	0.02062407442415548
11101	7	0.06449797248349398
11101	8	0.08584786038326797
11101	9	0.11349581821149712
11101	10-11	0.0381173698509798
11101	12-13	0.0873371432106751
11101	14-15	0.11995805183712349
11101	16-17	0.07495240533287273
11101	18-19	0.12538397029144477
11101	20-21	0.13200163220899697
11101	22-23	0.011848809172597896
11101	24-25	0.07471649747154174
11101	26-27	0.02611313340410959
11101	28-29	0.10079748666733224
11101	30-31	0.15423327999865677
11101	32-33	0.20032584121315722
11101	34-35	0.18760705456464422
11101	36-37	0.12283791740345151
11101	38-39	0.1766691213364453
11101	40-41	0.17181249572988122
11101	42-43	0.19791901652902766
11101	44-45	0.2969275019367572
11101	46-47	0.25456769955205516
11101	48-49	0.22006298863703933
11101	50-51	0.27609977099469063
11101	52-53	0.22458376475310615
11101	54-55	0.24357750883623908
11101	56-57	0.30541202590102756
11101	58-59	0.29626251358874356
11101	60-61	0.28365775740342514
11101	62-63	0.4040995612654257
11101	64-65	0.2297746521883255
11101	66-67	0.32747996678859437
11101	68-69	0.26402570770487443
11101	70-71	0.3628673141325436
11101	72-73	0.2939847398665094
11101	74-75	0.260333119606976
11101	76	0.5658401658532419
11102	1	0.0969751558185763
11102	2	0.03898561916971133
11102	3	0.03326658031661012
11102	4	0.021014817794235086
11102	5	0.03055315750344434
11102	6	0.026253570857669217
11102	7	0.04716158998651565
11102	8	0.05991280189687842
11102	9	0.0459963380005064
11102	10-11	0.0547178274533664
11102	12-13	0.054967781022774886
11102	14-15	0.01862852917718527
11102	16-17	0.0630654895127023
11102	18-19	0.05391640716354118
11102	20-21	0.08311545097382123
11102	22-23	0.12963494356085903
11102	24-25	0.135040165226485
11102	26-27	0.11971450709585696
11102	28-29	0.07173505252022494
11102	30-31	0.07731102074996699
11102	32-33	0.0796750962577093
11102	34-35	0.0927519081192898
11102	36-37	0.10677025822810293
11102	38-39	0.051310441061779954
11102	40-41	0.10013647271638604
11102	42-43	0.0682083873771191
11102	44-45	0.0196188518755136
11102	46-47	0.1654863321054023
11102	48-49	0.17069035248087516
11102	50-51	0.20875047365167632
11102	52-53	0.16303100859437336
11102	54-55	0.24481712484127627
11102	56-57	0.2981346651292114
11102	58-59	0.3262365607913722
11102	60-61	0.30001834952447126
11102	62-63	0.12685881622126516
11102	64-65	0.18083709950065696
11102	66-67	0.26307674930289693
11102	68-69	0.20220211960795353
11102	70-71	0.2747546644896488
11102	72-73	0.2667942098904703
11102	74-75	0.14032531086476752
11102	76	0.37969709368091387
11103	1	0.004293886145489978
11103	2	0.01792625734796971
11103	3	0.012698209332086208
11103	4	0.0348489380870447
11103	5	-0.030251593723878756
11103	6	0.07939601088288839
11103	7	0.06029169951554536
11103	8	0.04557669335567027
11103	9	0.08130104911284519
11103	10-11	0.009726861967095601
11103	12-13	0.03782983171515042
11103	14-15	-5.9464544996501445E-5
11103	16-17	0.0639060712707149
11103	18-19	-0.0033753157685225688
11103	20-21	0.06520613265919195
11103	22-23	0.014505937517967027
