##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Nt2_S2_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	95633756
Sequences flagged as poor quality	0
Sequence length	20-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.98992218814453	32.0	32.0	32.0	32.0	32.0
2	31.119164701635267	32.0	32.0	32.0	32.0	32.0
3	31.171550649960878	32.0	32.0	32.0	32.0	32.0
4	31.27393130935901	32.0	32.0	32.0	32.0	32.0
5	31.295270019510685	32.0	32.0	32.0	32.0	32.0
6	34.446875965009674	36.0	36.0	36.0	32.0	36.0
7	34.522967643349695	36.0	36.0	36.0	32.0	36.0
8	34.380104217594464	36.0	36.0	36.0	32.0	36.0
9	34.628028789332504	36.0	36.0	36.0	32.0	36.0
10-11	34.54972971050097	36.0	36.0	36.0	32.0	36.0
12-13	34.56836189723637	36.0	36.0	36.0	32.0	36.0
14-15	34.56370968531237	36.0	36.0	36.0	32.0	36.0
16-17	34.52102851110438	36.0	36.0	36.0	32.0	36.0
18-19	34.52147164961293	36.0	36.0	36.0	32.0	36.0
20-21	34.488599087500255	36.0	36.0	36.0	32.0	36.0
22-23	34.45589814807735	36.0	36.0	36.0	32.0	36.0
24-25	34.416768190501216	36.0	36.0	36.0	32.0	36.0
26-27	34.33335045408636	36.0	36.0	36.0	32.0	36.0
28-29	34.29658827002149	36.0	36.0	36.0	32.0	36.0
30-31	34.25523660627263	36.0	36.0	36.0	32.0	36.0
32-33	34.21560774657584	36.0	36.0	36.0	32.0	36.0
34-35	34.22683635120538	36.0	36.0	36.0	32.0	36.0
36-37	34.21631213049077	36.0	36.0	36.0	32.0	36.0
38-39	34.184635920068004	36.0	36.0	36.0	32.0	36.0
40-41	34.15361984331999	36.0	36.0	36.0	32.0	36.0
42-43	34.13554418405148	36.0	36.0	36.0	32.0	36.0
44-45	34.10011375064811	36.0	36.0	36.0	32.0	36.0
46-47	34.08822361413185	36.0	36.0	36.0	32.0	36.0
48-49	34.03689418650772	36.0	36.0	36.0	32.0	36.0
50-51	33.98537688864779	36.0	36.0	36.0	32.0	36.0
52-53	33.93404247722053	36.0	36.0	36.0	32.0	36.0
54-55	33.87813780709065	36.0	36.0	36.0	32.0	36.0
56-57	33.795668299573705	36.0	36.0	36.0	32.0	36.0
58-59	33.727163094405086	36.0	36.0	36.0	29.5	36.0
60-61	33.664993777698015	36.0	36.0	36.0	27.0	36.0
62-63	33.58775766886032	36.0	36.0	36.0	27.0	36.0
64-65	33.529540604270466	36.0	36.0	36.0	27.0	36.0
66-67	33.47441812522206	36.0	36.0	36.0	27.0	36.0
68-69	33.44432664394971	36.0	36.0	36.0	27.0	36.0
70-71	33.415747120992776	36.0	36.0	36.0	27.0	36.0
72-73	33.420081084983366	36.0	36.0	36.0	27.0	36.0
74-75	33.8248820357056	36.0	36.0	36.0	29.5	36.0
76	34.544824096556866	36.0	32.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	2.6946946362116364E-4
11101	2	-0.008706432733063707
11101	3	0.026778548946893466
11101	4	0.0239523178806742
11101	5	0.003804746903259826
11101	6	0.04115036545906037
11101	7	-0.012985743960939544
11101	8	0.029754531634736736
11101	9	0.00152536682246307
11101	10-11	0.007361697456566674
11101	12-13	0.059074139713338525
11101	14-15	0.04600445170317613
11101	16-17	0.04574758961225456
11101	18-19	0.07788095223089897
11101	20-21	0.0845878492399379
11101	22-23	0.02323119394824147
11101	24-25	0.022216448343847617
11101	26-27	-0.046799566172047946
11101	28-29	0.043605462739883194
11101	30-31	0.10370247450292425
11101	32-33	0.08345531023219621
11101	34-35	0.06206322303643219
11101	36-37	0.0508874113951876
11101	38-39	0.1094828491241131
11101	40-41	0.137938429687118
11101	42-43	0.1736291303400037
11101	44-45	0.16907516470612194
11101	46-47	0.1592240615400371
11101	48-49	0.12248405727940082
11101	50-51	0.20935484352681044
11101	52-53	0.182094509928163
11101	54-55	0.1738831077900116
11101	56-57	0.2229521696721548
11101	58-59	0.22605581403826847
11101	60-61	0.23561673466678457
11101	62-63	0.27562005016824287
11101	64-65	0.1726237859977644
11101	66-67	0.18500269821106485
11101	68-69	0.19965844548317335
11101	70-71	0.2362635161757467
11101	72-73	0.13906381069779883
11101	74-75	0.1268295037607885
11101	76	0.05445607192991986
11102	1	0.0020671761270456557
11102	2	-0.04278431591432508
11102	3	0.0018750513395424662
11102	4	-0.027177904069901615
11102	5	0.012253128433883376
11102	6	0.04725591910030147
11102	7	0.03523117995484881
11102	8	0.02431480523105023
11102	9	0.020796172064571294
11102	10-11	0.02751436018913722
11102	12-13	0.022019828100461325
11102	14-15	0.03488793214565078
11102	16-17	0.04219276203178879
11102	18-19	0.02260401677908419
11102	20-21	0.015035708223244626
11102	22-23	0.10898500220290686
11102	24-25	0.054180260518954526
11102	26-27	0.05806192655673925
11102	28-29	0.052544545428602873
11102	30-31	-0.0033621277513660175
11102	32-33	0.05775032526783974
11102	34-35	0.052063492749987006
11102	36-37	0.08388647064750643
11102	38-39	0.018026309349522762
11102	40-41	0.034482254459717865
11102	42-43	0.061544415590169876
11102	44-45	0.031005026100444866
11102	46-47	0.033165207629714644
11102	48-49	0.11285967353847326
11102	50-51	0.168494534393119
11102	52-53	0.11820777678713768
11102	54-55	0.174852601733555
11102	56-57	0.17664377857168745
11102	58-59	0.30605059262261136
11102	60-61	0.21721823088991954
11102	62-63	0.08420591346809658
11102	64-65	0.08247174138939073
11102	66-67	0.19106086738226224
11102	68-69	0.1556128798177383
11102	70-71	0.18896523739999793
11102	72-73	0.16783702928585598
11102	74-75	0.009969398194037637
11102	76	0.059262328676283005
11103	1	0.0014170005820446363
11103	2	-7.337559810949301E-4
11103	3	0.008544409990495438
11103	4	-0.041364022916269505
11103	5	0.037887810606939354
11103	6	0.026975812101156293
11103	7	0.022353690623667433
11103	8	-0.07427586269972153
11103	9	-0.028341637433200617
11103	10-11	-0.014820513779078226
11103	12-13	-0.0019278706045540162
11103	14-15	0.026926949660150967
11103	16-17	0.01376305411507417
11103	18-19	-0.04031986414863553
11103	20-21	-0.02063057889556319
