##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Nt2_S2_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	95633756
Sequences flagged as poor quality	0
Sequence length	20-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.993934850786367	32.0	32.0	32.0	32.0	32.0
2	30.52825859940082	32.0	32.0	32.0	32.0	32.0
3	30.61866985544309	32.0	32.0	32.0	32.0	32.0
4	30.735869686013377	32.0	32.0	32.0	32.0	32.0
5	30.788704137062233	32.0	32.0	32.0	32.0	32.0
6	33.988308563348696	36.0	36.0	36.0	32.0	36.0
7	34.0361098334358	36.0	36.0	36.0	32.0	36.0
8	33.850012593879505	36.0	36.0	36.0	32.0	36.0
9	34.14267154789989	36.0	36.0	36.0	32.0	36.0
10-11	34.02878836527136	36.0	36.0	36.0	32.0	36.0
12-13	33.9994632334633	36.0	36.0	36.0	32.0	36.0
14-15	33.942690915538236	36.0	36.0	36.0	32.0	36.0
16-17	33.871627153282574	36.0	36.0	36.0	32.0	36.0
18-19	33.85227984248574	36.0	36.0	36.0	32.0	36.0
20-21	33.83494288861567	36.0	36.0	36.0	32.0	36.0
22-23	33.82598626042973	36.0	36.0	36.0	32.0	36.0
24-25	33.81696258199801	36.0	36.0	36.0	32.0	36.0
26-27	33.798988606363665	36.0	36.0	36.0	32.0	36.0
28-29	33.78615944217287	36.0	36.0	36.0	32.0	36.0
30-31	33.75240761362758	36.0	36.0	36.0	32.0	36.0
32-33	33.725882335510136	36.0	36.0	36.0	32.0	36.0
34-35	33.734919851392135	36.0	36.0	36.0	29.5	36.0
36-37	33.71589969410147	36.0	36.0	36.0	27.0	36.0
38-39	33.690146956714074	36.0	36.0	36.0	27.0	36.0
40-41	33.646165110688194	36.0	36.0	36.0	27.0	36.0
42-43	33.61701487051752	36.0	36.0	36.0	27.0	36.0
44-45	33.55265255758212	36.0	36.0	36.0	27.0	36.0
46-47	33.525024861650564	36.0	36.0	36.0	27.0	36.0
48-49	33.46800666915041	36.0	36.0	36.0	27.0	36.0
50-51	33.39454368569726	36.0	36.0	36.0	27.0	36.0
52-53	33.34174486470431	36.0	36.0	36.0	27.0	36.0
54-55	33.289724439661406	36.0	36.0	36.0	27.0	36.0
56-57	33.22707265972771	36.0	36.0	36.0	27.0	36.0
58-59	33.17987030702703	36.0	36.0	36.0	27.0	36.0
60-61	33.15374194667603	36.0	36.0	36.0	27.0	36.0
62-63	33.13960902029439	36.0	36.0	36.0	27.0	36.0
64-65	33.10477821446635	36.0	34.0	36.0	27.0	36.0
66-67	33.077616871961894	36.0	32.0	36.0	24.0	36.0
68-69	33.043264134773	36.0	32.0	36.0	21.0	36.0
70-71	33.03466326773783	36.0	32.0	36.0	21.0	36.0
72-73	33.096744129142124	36.0	32.0	36.0	27.0	36.0
74-75	33.597662825421025	36.0	34.0	36.0	27.0	36.0
76	34.40088728684203	36.0	32.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	5.897282027369499E-4
11101	2	0.011415599737482296
11101	3	0.07532999098066995
11101	4	0.016730049608618458
11101	5	-0.020302476558850202
11101	6	-0.022468174805901242
11101	7	-0.04384069436861182
11101	8	-0.04086960959282493
11101	9	0.012247004976032372
11101	10-11	0.020539256219279878
11101	12-13	0.02011341019472468
11101	14-15	0.022541785947886694
11101	16-17	0.05244146482543499
11101	18-19	0.05038768264507354
11101	20-21	0.018183836442666745
11101	22-23	0.0991598303652097
11101	24-25	0.035495968705419045
11101	26-27	0.06039128050772291
11101	28-29	0.09405774259015942
11101	30-31	0.08215402613416245
11101	32-33	0.07723642184087964
11101	34-35	0.04287589058051822
11101	36-37	0.057078245416022355
11101	38-39	0.0442918035862192
11101	40-41	-0.001129274692523552
11101	42-43	0.05555014418955295
11101	44-45	0.10461347114875963
11101	46-47	0.1363043517602378
11101	48-49	0.078492729330641
11101	50-51	0.09760585544707112
11101	52-53	0.15448844710557097
11101	54-55	0.17931746982707608
11101	56-57	0.2977758688373129
11101	58-59	0.3017771112476595
11101	60-61	0.26019570022850047
11101	62-63	0.14724729484221655
11101	64-65	0.12343942219949611
11101	66-67	0.1746981656596489
11101	68-69	0.14998777511775074
11101	70-71	0.11555106391276126
11101	72-73	0.1110799841993142
11101	74-75	0.10174718236052627
11101	76	0.1861295168755106
11102	1	5.367785865821872E-4
11102	2	0.01709387715297339
11102	3	0.07295115854688561
11102	4	0.06334313472800801
11102	5	0.08155734809758641
11102	6	0.09929610043152337
11102	7	0.10529557584369797
11102	8	0.04717947986789994
11102	9	0.07969461427249058
11102	10-11	0.06333465310875397
11102	12-13	0.06591013049609984
11102	14-15	0.06081282777594055
11102	16-17	0.013650089239803265
11102	18-19	0.11019438459117481
11102	20-21	0.08905481952552208
11102	22-23	0.08766685984902267
11102	24-25	0.08187148771832398
11102	26-27	0.05969354425987916
11102	28-29	0.15038449719855151
11102	30-31	0.06829470073152066
11102	32-33	0.10539633291665496
11102	34-35	0.09428941270778068
11102	36-37	0.022043559112240985
11102	38-39	0.1481542146527346
11102	40-41	0.14730918725674513
11102	42-43	0.12514337401149334
11102	44-45	0.07945407434606011
11102	46-47	0.10361677178494944
11102	48-49	0.12399926158158792
11102	50-51	0.18380448765240942
11102	52-53	0.19153307417906262
11102	54-55	0.23472039168964187
11102	56-57	0.18735136732531288
11102	58-59	0.2444361483615367
11102	60-61	0.22525052887751684
11102	62-63	0.1395504870635662
11102	64-65	0.1714338153080064
11102	66-67	0.11345211645895859
11102	68-69	0.17397088451399156
11102	70-71	0.12305765493422882
11102	72-73	0.09742962553862355
11102	74-75	0.10069672546222819
11102	76	0.12738929835308
11103	1	6.239613751581885E-4
11103	2	0.043360143323393885
11103	3	0.04343851292826173
11103	4	0.10098398702080758
11103	5	0.14239112614692218
11103	6	0.13727954986477897
11103	7	0.035993517403305475
11103	8	0.05838460762419828
11103	9	-0.018573504270364083
11103	10-11	0.15327151415833384
11103	12-13	0.11091645227060809
11103	14-15	0.0809418884245261
11103	16-17	0.1572114966778102
11103	18-19	0.1587741733746384
11103	20-21	0.0835227294546641
11103	22-23	0.10524034852572584
