##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	Nt3_S3_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	102375948
Sequences flagged as poor quality	0
Sequence length	35-76
%GC	43
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.669797587613058	32.0	32.0	32.0	32.0	32.0
2	30.353618439753056	32.0	32.0	32.0	32.0	32.0
3	30.405674280056484	32.0	32.0	32.0	32.0	32.0
4	30.4968080393258	32.0	32.0	32.0	32.0	32.0
5	30.429308815777706	32.0	32.0	32.0	32.0	32.0
6	33.76102075264788	36.0	36.0	36.0	27.0	36.0
7	33.77698876107111	36.0	36.0	36.0	32.0	36.0
8	33.60761120375657	36.0	36.0	36.0	21.0	36.0
9	33.879429004164145	36.0	36.0	36.0	32.0	36.0
10-11	33.75752947850603	36.0	36.0	36.0	26.5	36.0
12-13	33.7188865249873	36.0	36.0	36.0	26.5	36.0
14-15	33.663747987955134	36.0	36.0	36.0	24.0	36.0
16-17	33.60899983070242	36.0	36.0	36.0	21.0	36.0
18-19	33.57703184345604	36.0	36.0	36.0	21.0	36.0
20-21	33.54515059533319	36.0	36.0	36.0	21.0	36.0
22-23	33.5105637800785	36.0	36.0	36.0	21.0	36.0
24-25	33.482225561418	36.0	36.0	36.0	21.0	36.0
26-27	33.44656007971716	36.0	36.0	36.0	21.0	36.0
28-29	33.41984502551322	36.0	36.0	36.0	21.0	36.0
30-31	33.36598041075038	36.0	36.0	36.0	21.0	36.0
32-33	33.31995491753591	36.0	36.0	36.0	21.0	36.0
34-35	33.30774245431163	36.0	36.0	36.0	21.0	36.0
36-37	33.26954691037054	36.0	36.0	36.0	21.0	36.0
38-39	33.232801100868016	36.0	36.0	36.0	21.0	36.0
40-41	33.163490192842374	36.0	36.0	36.0	21.0	36.0
42-43	33.113266240942295	36.0	36.0	36.0	14.0	36.0
44-45	33.03245066641018	36.0	36.0	36.0	14.0	36.0
46-47	32.98809810659559	36.0	36.0	36.0	14.0	36.0
48-49	32.919364673659935	36.0	36.0	36.0	14.0	36.0
50-51	32.83341001938595	36.0	36.0	36.0	14.0	36.0
52-53	32.764927588458974	36.0	32.0	36.0	14.0	36.0
54-55	32.70764530663892	36.0	32.0	36.0	14.0	36.0
56-57	32.625963133786854	36.0	32.0	36.0	14.0	36.0
58-59	32.56649585445929	36.0	32.0	36.0	14.0	36.0
60-61	32.53230230979422	36.0	32.0	36.0	14.0	36.0
62-63	32.50754614311063	36.0	32.0	36.0	14.0	36.0
64-65	32.45445546451859	36.0	32.0	36.0	14.0	36.0
66-67	32.41322211798918	36.0	32.0	36.0	14.0	36.0
68-69	32.36844046673112	36.0	32.0	36.0	14.0	36.0
70-71	32.33573451743705	36.0	32.0	36.0	14.0	36.0
72-73	32.3015728274699	36.0	32.0	36.0	14.0	36.0
74-75	32.22641324864506	36.0	32.0	36.0	14.0	36.0
76	30.624399852833907	36.0	27.0	36.0	14.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.03938648367413222
11101	2	0.042933995294646365
11101	3	-0.004627859450589966
11101	4	0.07959137114692894
11101	5	-0.004346971104354225
11101	6	0.005335017455387003
11101	7	-0.00666696906437636
11101	8	0.04186003221500556
11101	9	-0.06948332477710295
11101	10-11	0.055590339366872854
11101	12-13	0.07738815246369768
11101	14-15	0.014820262877087487
11101	16-17	0.06854106476244937
11101	18-19	0.12810331222178917
11101	20-21	0.12382751757520083
11101	22-23	0.15388844134260893
11101	24-25	0.13469886036872225
11101	26-27	0.1784181262965987
11101	28-29	0.0871930981249065
11101	30-31	0.09574117287216666
11101	32-33	0.13007215169402286
11101	34-35	0.1348988816618757
11101	36-37	0.055391523356014716
11101	38-39	0.12264981244266693
11101	40-41	0.05058439854204977
11101	42-43	0.15542203216285344
11101	44-45	0.23592815262428957
11101	46-47	0.19935011277253523
11101	48-49	0.18364335562539935
11101	50-51	0.24196444120200766
11101	52-53	0.23106982529854747
11101	54-55	0.22725229963900517
11101	56-57	0.32456048888222
11101	58-59	0.34392940654811355
11101	60-61	0.3761871802865926
11101	62-63	0.2947830234281099
11101	64-65	0.224138049145715
11101	66-67	0.27697528177709785
11101	68-69	0.21556137933514918
11101	70-71	0.20138530468395288
11101	72-73	0.2066956572775922
11101	74-75	0.294657997742398
11101	76	0.46915243246966654
11102	1	0.10477020778295909
11102	2	0.06861774211009575
11102	3	0.02863069898200976
11102	4	0.056252353668387656
11102	5	0.11239983028146838
11102	6	0.1967683416125965
11102	7	0.22402466797302623
11102	8	0.17957871216461996
11102	9	0.15447439776504268
11102	10-11	0.09796570192583687
11102	12-13	0.05547669633851626
11102	14-15	0.16158907787130516
11102	16-17	0.04285740655099346
11102	18-19	0.21422922740296002
11102	20-21	0.12849124854196958
11102	22-23	0.06603478532133522
11102	24-25	0.12212547514932481
11102	26-27	0.13677170790317916
11102	28-29	0.21424504234013142
11102	30-31	0.17535895100417065
11102	32-33	0.16179267676940157
11102	34-35	0.14560163311212193
11102	36-37	0.12940151936221866
11102	38-39	0.19159024225153587
11102	40-41	0.22748984726210608
11102	42-43	0.257801820473297
11102	44-45	0.09122751310270161
11102	46-47	0.15423431814585342
11102	48-49	0.21692942379031166
11102	50-51	0.2270309538525055
11102	52-53	0.21852723991287348
11102	54-55	0.2561595131481198
11102	56-57	0.21762792802672237
11102	58-59	0.2767035897220751
11102	60-61	0.23464334199340442
11102	62-63	0.21345353906679776
11102	64-65	0.30055277229439525
11102	66-67	0.23368915051439387
11102	68-69	0.1538230183470759
11102	70-71	0.19350342034776702
11102	72-73	0.17696965209762539
11102	74-75	0.18374553940392246
11102	76	0.5371451007107737
11103	1	0.0319290600939901
11103	2	0.08856267079112712
11103	3	0.027826840079008264
11103	4	0.04023926595686689
11103	5	0.14884196322900678
11103	6	0.15990125630970908
11103	7	0.06048582853047435
11103	8	0.08475646547489646
11103	9	0.055387316129397846
11103	10-11	0.1237925747302242
11103	12-13	0.11357675239866438
11103	14-15	0.061909925722012815
11103	16-17	0.17011258523695716
11103	18-19	0.16060388975650852
11103	20-21	0.04761035590652085
11103	22-23	0.15041893857757316
