##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	Nt1_S1_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	46562613
Sequences flagged as poor quality	0
Sequence length	20-76
%GC	42
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.99377023793746	32.0	32.0	32.0	32.0	32.0
2	30.55647285086857	32.0	32.0	32.0	32.0	32.0
3	30.635888582971063	32.0	32.0	32.0	32.0	32.0
4	30.751166756900005	32.0	32.0	32.0	32.0	32.0
5	30.83196117022041	32.0	32.0	32.0	32.0	32.0
6	34.0098525398478	36.0	36.0	36.0	32.0	36.0
7	34.04745717341937	36.0	36.0	36.0	32.0	36.0
8	33.89258742845897	36.0	36.0	36.0	32.0	36.0
9	34.144074367132276	36.0	36.0	36.0	32.0	36.0
10-11	34.04420561620972	36.0	36.0	36.0	32.0	36.0
12-13	34.01245572279201	36.0	36.0	36.0	32.0	36.0
14-15	33.964271539056455	36.0	36.0	36.0	32.0	36.0
16-17	33.90123881149024	36.0	36.0	36.0	32.0	36.0
18-19	33.88228460245563	36.0	36.0	36.0	32.0	36.0
20-21	33.8643847148292	36.0	36.0	36.0	32.0	36.0
22-23	33.85747927340608	36.0	36.0	36.0	32.0	36.0
24-25	33.84597189478107	36.0	36.0	36.0	32.0	36.0
26-27	33.83126721409522	36.0	36.0	36.0	32.0	36.0
28-29	33.819835882085485	36.0	36.0	36.0	32.0	36.0
30-31	33.79192300278828	36.0	36.0	36.0	32.0	36.0
32-33	33.76572273195857	36.0	36.0	36.0	32.0	36.0
34-35	33.77524850859039	36.0	36.0	36.0	32.0	36.0
36-37	33.75872091364772	36.0	36.0	36.0	29.5	36.0
38-39	33.73389304599033	36.0	36.0	36.0	27.0	36.0
40-41	33.689161085640855	36.0	36.0	36.0	27.0	36.0
42-43	33.66421520751592	36.0	36.0	36.0	27.0	36.0
44-45	33.60336817603411	36.0	36.0	36.0	27.0	36.0
46-47	33.57442389946125	36.0	36.0	36.0	27.0	36.0
48-49	33.518254683500146	36.0	36.0	36.0	27.0	36.0
50-51	33.44672927435923	36.0	36.0	36.0	27.0	36.0
52-53	33.39519580803855	36.0	36.0	36.0	27.0	36.0
54-55	33.345572382532794	36.0	36.0	36.0	27.0	36.0
56-57	33.28603684873713	36.0	36.0	36.0	27.0	36.0
58-59	33.23864739843779	36.0	36.0	36.0	27.0	36.0
60-61	33.21342159875792	36.0	36.0	36.0	27.0	36.0
62-63	33.19954428093793	36.0	36.0	36.0	27.0	36.0
64-65	33.167309007266525	36.0	36.0	36.0	27.0	36.0
66-67	33.140368933341335	36.0	36.0	36.0	27.0	36.0
68-69	33.106724387381114	36.0	34.0	36.0	27.0	36.0
70-71	33.097043133310045	36.0	32.0	36.0	27.0	36.0
72-73	33.15840719814433	36.0	32.0	36.0	27.0	36.0
74-75	33.66235578599152	36.0	36.0	36.0	29.5	36.0
76	34.43824943595388	36.0	32.0	36.0	32.0	36.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
11101	1	-0.0021996497532050796
11101	2	0.034289534362294205
11101	3	0.0944830192605366
11101	4	0.1214620756897773
11101	5	0.05489373043133483
11101	6	0.017409963908342263
11101	7	-0.01994316139079899
11101	8	-0.009910658391902416
11101	9	0.02912251677484079
11101	10-11	0.07166389639241544
11101	12-13	0.09542742599415277
11101	14-15	0.11325897723792622
11101	16-17	0.05024840925661067
11101	18-19	0.08552822238041102
11101	20-21	0.14673742949847934
11101	22-23	0.08889854168069888
11101	24-25	0.1302782255560615
11101	26-27	0.20225522145337038
11101	28-29	0.10311658604497609
11101	30-31	0.06086382959910708
11101	32-33	0.18241006922716707
11101	34-35	0.17834576222110599
11101	36-37	0.0531170643859582
11101	38-39	0.1449585351375191
11101	40-41	0.05668780836436582
11101	42-43	0.12476467338692743
11101	44-45	0.24826190073362397
11101	46-47	0.19690207606005572
11101	48-49	0.06535257267690042
11101	50-51	0.13871761396092097
11101	52-53	0.2541038201763044
11101	54-55	0.23793329865845436
11101	56-57	0.3034982653307594
11101	58-59	0.2828785319639877
11101	60-61	0.35403891189093883
11101	62-63	0.2585104253808552
11101	64-65	0.26461870095963036
11101	66-67	0.2624605827822535
11101	68-69	0.23091849577266288
11101	70-71	0.20236336423204904
11101	72-73	0.17025014158618745
11101	74-75	0.16184513169843484
11101	76	0.14405634440132786
11102	1	5.161069400223539E-4
11102	2	0.01621522930052066
11102	3	0.014997657998716107
11102	4	0.026043046438250173
11102	5	0.09062327463509234
11102	6	0.1330572728725059
11102	7	0.08464584414078757
11102	8	0.08464299167629008
11102	9	0.0565810052733795
11102	10-11	0.006296023807159656
11102	12-13	0.056890329513336724
11102	14-15	0.08805607478736732
11102	16-17	0.04853173392253041
11102	18-19	0.01914795100460509
11102	20-21	0.06144512682332248
11102	22-23	0.05568239445175749
11102	24-25	0.08171769873825951
11102	26-27	0.06495506454163547
11102	28-29	0.04906368605141154
11102	30-31	0.01456924231963086
11102	32-33	0.06358919602666901
11102	34-35	0.12960825097189854
11102	36-37	0.019168090150856187
11102	38-39	0.0644619787569809
11102	40-41	0.11124088025216139
11102	42-43	0.1863106461696944
11102	44-45	0.06508514031220614
11102	46-47	0.16698453733807384
11102	48-49	0.2135031171919195
11102	50-51	0.1547849114449491
11102	52-53	0.2871480425452617
11102	54-55	0.2245153442983323
11102	56-57	0.12783793159303514
11102	58-59	0.2369415030433757
11102	60-61	0.23731116010830533
11102	62-63	0.1369427485842607
11102	64-65	0.1453865996110295
11102	66-67	0.10097890875102422
11102	68-69	0.182910241669056
11102	70-71	0.2137472285208304
11102	72-73	0.14935232446400448
11102	74-75	0.059605806226983304
11102	76	0.0838557744074464
11103	1	4.906135097755282E-4
11103	2	0.024084262392563005
11103	3	-0.015350454500378419
11103	4	0.040477830615415655
11103	5	0.12590199276191427
11103	6	0.11602142733908494
11103	7	0.030138853791513043
11103	8	0.03991227050106261
11103	9	0.08796531308206568
11103	10-11	0.016872401837403572
11103	12-13	0.09726715183747103
11103	14-15	0.005539559853154685
11103	16-17	0.1951637313527428
11103	18-19	0.12621715369819952
11103	20-21	0.07705202286746982
11103	22-23	0.04369581227114594
11103	24-25	0.07636906359877571
11103	26-27	0.06338664039570574
11103	28-29	0.09811864577487484
11103	30-31	0.1318241051860909
11103	32-33	0.07121052322848698
11103	34-35	0.06867397360548466
11103	36-37	0.12141755608889326
11103	38-39	0.08572658847883474
11103	40-41	0.1364399944573833
11103	42-43	0.10807643139706613
11103	44-45	0.12627881171584932
11103	46-47	0.12612794237949032
11103	48-49	0.12263472992270863
11103	50-51	0.050307124794038316
11103	52-53	0.10255969911884932
11103	54-55	0.24384268363724715
11103	56-57	0.08183893622442895
11103	58-59	0.13875094275638133
11103	60-61	0.17387662603661624
11103	62-63	0.10932794528887513
11103	64-65	0.14834820901048573
11103	66-67	0.1741206207186039
11103	68-69	0.15750311360966407
11103	70-71	0.09618038265658413
11103	72-73	0.08105732404540333
11103	74-75	0.08017327485473658
11103	76	0.1402291253154786
11104	1	0.0036902079030909363
11104	2	-0.013849610310572302
11104	3	-0.031788082623091185
11104	4	0.11226088425371472
11104	5	0.07331282329988653
11104	6	0.0663549331800013
11104	7	0.12651118624153668
11104	8	-0.048215961843524724
11104	9	-0.04254975359356905
11104	10-11	0.0726708775593039
11104	12-13	0.09843240845240331
11104	14-15	0.019427391699764485
11104	16-17	-0.011016483382078945
11104	18-19	0.009794370182824252
11104	20-21	0.07950503290663136
11104	22-23	0.021679744196937634
11104	24-25	0.05935126859546358
11104	26-27	0.044398726639059305
11104	28-29	0.07219306314841845
11104	30-31	0.10862858718403601
11104	32-33	0.07293253350571405
11104	34-35	0.07164909860333069
11104	36-37	0.08817775134241401
11104	38-39	0.08923720744502361
